rank,full_name,stargazers_count,clone_url,html_url,language,description
108,microsoft/LightGBM,17546,https://github.com/microsoft/LightGBM.git,https://github.com/microsoft/LightGBM,C++,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks."
109,Tencent/mars,17543,https://github.com/Tencent/mars.git,https://github.com/Tencent/mars,C++,Mars is a cross-platform network component  developed by WeChat.
110,google/libphonenumber,17475,https://github.com/google/libphonenumber.git,https://github.com/google/libphonenumber,C++,"Google's common Java, C++ and JavaScript library for parsing, formatting, and validating international phone numbers."
111,microsoft/AirSim,17437,https://github.com/microsoft/AirSim.git,https://github.com/microsoft/AirSim,C++,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research"
112,RPCS3/rpcs3,17339,https://github.com/RPCS3/rpcs3.git,https://github.com/RPCS3/rpcs3,C++,PlayStation 3 emulator and debugger
113,apache/brpc,17273,https://github.com/apache/brpc.git,https://github.com/apache/brpc,C++,"brpc is an Industrial-grade RPC framework using C++ Language, which is often used in high performance system such as Search, Storage, Machine learning, Advertisement, Recommendation etc. ""brpc"" means ""better RPC""."
114,pybind/pybind11,17186,https://github.com/pybind/pybind11.git,https://github.com/pybind/pybind11,C++,Seamless operability between C++11 and Python
115,rizinorg/cutter,17033,https://github.com/rizinorg/cutter.git,https://github.com/rizinorg/cutter,C++,Free and Open Source Reverse Engineering Platform powered by rizin
116,Qv2ray/Qv2ray,16964,https://github.com/Qv2ray/Qv2ray.git,https://github.com/Qv2ray/Qv2ray,C++,:star: Linux / Windows / macOS 跨平台 V2Ray 客户端 | 支持 VMess / VLESS / SSR / Trojan / Trojan-Go / NaiveProxy / HTTP / HTTPS / SOCKS5 | 使用 C++ / Qt 开发 | 可拓展插件式设计 :star:
117,microsoft/react-native-windows,16961,https://github.com/microsoft/react-native-windows.git,https://github.com/microsoft/react-native-windows,C++,A framework for building native Windows apps with React.
118,MarlinFirmware/Marlin,16952,https://github.com/MarlinFirmware/Marlin.git,https://github.com/MarlinFirmware/Marlin,C++,Marlin is an optimized firmware for RepRap 3D printers based on the Arduino platform. Many commercial 3D printers come with Marlin installed. Check with your vendor if you need source code for your specific machine.
119,id-Software/DOOM,16845,https://github.com/id-Software/DOOM.git,https://github.com/id-Software/DOOM,C++,DOOM Open Source Release
120,Atmosphere-NX/Atmosphere,16825,https://github.com/Atmosphere-NX/Atmosphere.git,https://github.com/Atmosphere-NX/Atmosphere,C++,Atmosphère is a work-in-progress customized firmware for the Nintendo Switch.
121,wled/WLED,16602,https://github.com/wled/WLED.git,https://github.com/wled/WLED,C++,Control WS2812B and many more types of digital RGB LEDs with an ESP32 over WiFi!
122,microsoft/IoT-For-Beginners,16434,https://github.com/microsoft/IoT-For-Beginners.git,https://github.com/microsoft/IoT-For-Beginners,C++,"12 Weeks, 24 Lessons, IoT for All!"
123,esp8266/Arduino,16406,https://github.com/esp8266/Arduino.git,https://github.com/esp8266/Arduino,C++,ESP8266 core for Arduino
124,upx/upx,16368,https://github.com/upx/upx.git,https://github.com/upx/upx,C++,UPX - the Ultimate Packer for eXecutables
125,abseil/abseil-cpp,16259,https://github.com/abseil/abseil-cpp.git,https://github.com/abseil/abseil-cpp,C++,Abseil Common Libraries (C++)
