rank,full_name,stargazers_count,clone_url,html_url,language,description
63,greenrobot/EventBus,24759,https://github.com/greenrobot/EventBus.git,https://github.com/greenrobot/EventBus,Java,"Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality."
64,OpenAPITools/openapi-generator,24681,https://github.com/OpenAPITools/openapi-generator.git,https://github.com/OpenAPITools/openapi-generator,Java,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)"
65,Anuken/Mindustry,24621,https://github.com/Anuken/Mindustry.git,https://github.com/Anuken/Mindustry,Java,The automation tower defense RTS
66,apache/skywalking,24495,https://github.com/apache/skywalking.git,https://github.com/apache/skywalking,Java,"APM, Application Performance Monitoring System"
67,bazelbuild/bazel,24486,https://github.com/bazelbuild/bazel.git,https://github.com/bazelbuild/bazel,Java,"a fast, scalable, multi-language and extensible build system"
68,Netflix/Hystrix,24390,https://github.com/Netflix/Hystrix.git,https://github.com/Netflix/Hystrix,Java,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable."
69,jenkinsci/jenkins,24353,https://github.com/jenkinsci/jenkins.git,https://github.com/jenkinsci/jenkins,Java,Jenkins automation server
70,libgdx/libgdx,24297,https://github.com/libgdx/libgdx.git,https://github.com/libgdx/libgdx,Java,Desktop/Android/HTML5/iOS Java game development framework
71,yuliskov/SmartTube,24214,https://github.com/yuliskov/SmartTube.git,https://github.com/yuliskov/SmartTube,Java,Browse media content with your own rules on Android TV
72,CodePhiliaX/Chat2DB,24116,https://github.com/CodePhiliaX/Chat2DB.git,https://github.com/CodePhiliaX/Chat2DB,Java,"🔥🔥🔥AI-driven database tool and SQL client, The hottest GUI client, supporting MySQL, Oracle, PostgreSQL, DB2, SQL Server, DB2, SQLite, H2, ClickHouse, and more."
73,redisson/redisson,23993,https://github.com/redisson/redisson.git,https://github.com/redisson/redisson,Java,"Redisson - Valkey & Redis Java client. Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Valkey and Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Bloom filter, Spring, Tomcat, Scheduler, JCache API, Hibernate, RPC, local cache.."
74,google/gson,23971,https://github.com/google/gson.git,https://github.com/google/gson,Java,A Java serialization/deserialization library to convert Java Objects into JSON and back
75,doocs/source-code-hunter,22924,https://github.com/doocs/source-code-hunter.git,https://github.com/doocs/source-code-hunter,Java,😱 从源码层面，剖析挖掘互联网行业主流技术的底层实现原理，为广大开发者 “提升技术深度” 提供便利。目前开放 Spring 全家桶，Mybatis、Netty、Dubbo 框架，及 Redis、Tomcat 中间件等
76,alibaba/Sentinel,22885,https://github.com/alibaba/Sentinel.git,https://github.com/alibaba/Sentinel,Java,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)"
77,iBotPeaches/Apktool,22776,https://github.com/iBotPeaches/Apktool.git,https://github.com/iBotPeaches/Apktool,Java,A tool for reverse engineering Android apk files
78,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22727,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,Java,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.
79,apache/rocketmq,22051,https://github.com/apache/rocketmq.git,https://github.com/apache/rocketmq,Java,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications."
80,google/ExoPlayer,21874,https://github.com/google/ExoPlayer.git,https://github.com/google/ExoPlayer,Java,This project is deprecated and stale. The latest ExoPlayer code is available in https://github.com/androidx/media
81,elunez/eladmin,21759,https://github.com/elunez/eladmin.git,https://github.com/elunez/eladmin,Java,eladmin jpa 版本：项目基于 Spring Boot 2.7.18、 Jpa、 Spring Security、Redis、Vue的前后端分离的后台管理系统，项目采用分模块开发方式， 权限控制采用 RBAC，支持数据字典与数据权限管理，支持一键生成前后端代码，支持动态路由
82,openjdk/jdk,21579,https://github.com/openjdk/jdk.git,https://github.com/openjdk/jdk,Java,JDK main-line development https://openjdk.org/projects/jdk
83,dataease/dataease,21516,https://github.com/dataease/dataease.git,https://github.com/dataease/dataease,Java,🔥 人人可用的开源 BI 工具，数据可视化神器。An open-source BI tool alternative to Tableau.
